source,target,weight,connection_types,earliest_date,latest_date,era,evidence_summary
Jeffrey Epstein,Steve Bannon,95,"email;imessage;social",2018-02,2019-07,trump_presidency,"3356 iMessages, hundreds of emails, dinner meetings, political strategy"
Jeffrey Epstein,Ghislaine Maxwell,90,"email;social;operational",2005-10,2015-09,"pre_conviction;post_plea;rebuilding","Constant communication, property, Terramar Project"
Jeffrey Epstein,Lesley Groff,90,"email;operational",2005-10,2019-07,all,"Executive assistant, forwarded hundreds of messages"
Jeffrey Epstein,Ehud Barak,85,"email;social;business",2015-08,2019-01,"rebuilding;trump_presidency","Frequent scheduling, Carbyne investment, Chomsky dinners"
Jeffrey Epstein,Darren Indyke,85,"email;legal;business",2005-10,2019-07,all,"Attorney, VI LLCs, property, Compass Point"
Jeffrey Epstein,Richard Kahn,80,"email;business",2005-10,2019-07,all,"Daily news sharing, financial matters, property"
Jeffrey Epstein,Larry Summers,78,"email;imessage;social;intellectual;flight_logs",2013-02,2019-07,"post_plea;rebuilding;trump_presidency","783 emails + 72 iMessages + FLIGHT: Treasure Cay→PBI Feb 2013 with Woody Allen. HOUSE_OVERSIGHT_006294"
Jeffrey Epstein,Reid Weingarten,70,"email;legal;social",2017-07,2019-07,trump_presidency,"Legal counsel, Trump/Mueller discussions, social dinners"
Jeffrey Epstein,Kathy Ruemmler,70,"email;legal;social",2015-08,2019-05,"rebuilding;trump_presidency","Legal advice, Trump commentary, Susan Rice case"
Jeffrey Epstein,Emad Hanna,70,"email;operational",2005-10,2008-05,"pre_conviction;post_plea","Estate management, LSJ island operations"
Jeffrey Epstein,Larry Visoski,65,"email;operational",2005-10,2018-03,all,"Pilot, flight coordination, POTUS restrictions"
Jeffrey Epstein,Michael Wolff,65,"email;imessage;social;media",2017-07,2019-05,trump_presidency,"24 iMessages, Fire and Fury, Bannon introductions"
Jeffrey Epstein,Lawrence Krauss,65,"email;academic;social",2015-09,2018-04,"rebuilding;trump_presidency","BuzzFeed defense, Heidelberg conference, Chomsky"
Jeffrey Epstein,Melanie Walker,60,"imessage;social",2018-01,2019-02,trump_presidency,"532 iMessages, Gates Foundation connection"
Jeffrey Epstein,Mark Epstein,60,"email;family",2005-10,2018-10,all,"Brother, personal exchanges, Putin/Trump joke (4480 stars)"
Jeffrey Epstein,Sultan Bin Sulayem,55,"email;business;social",2015-08,2018-08,"rebuilding;trump_presidency","Carbyne/Barak investment, donations, Dubai business"
Jeffrey Epstein,John Amerling,55,"email;operational",2006-07,2007-07,pre_conviction,"Island operations, boats, Puerto Rico"
Jeffrey Epstein,Alan Dershowitz,50,"email;legal;social",2011-03,2018-04,"post_plea;trump_presidency","Legal counsel, Maxwell defense, Trump lawyer rumors"
Jeffrey Epstein,Jean-Luc Brunel,50,"email;social",2006-06,2008-03,pre_conviction,"Model agency, MC2 modeling, travel"
Jeffrey Epstein,Robert Trivers,50,"email;academic",2018-02,2018-06,trump_presidency,"Biology discussions, David Haig introduction"
Jeffrey Epstein,Nicholas Ribis,45,"email;business;social",2017-07,2018-10,trump_presidency,"Trump/Stormy Daniels, Manafort, golf sightings"
Jeffrey Epstein,Landon Thomas Jr.,45,"email;media",2017-08,2018-09,trump_presidency,"NYT journalist, Barrack profile, Apple analysis"
Jeffrey Epstein,Cecilia Steen,45,"email;social",2005-10,2019-07,all,"Swedish contact, numbered reports, Bell 430"
Jeffrey Epstein,Joi Ito,45,"email;imessage;financial",2017-11,2019-05,trump_presidency,"21 iMessages, $25K ASU funding, #metoo"
Jeffrey Epstein,Noam Chomsky,40,"email;social",2015-09,2018-10,rebuilding,"Introduced via Krauss, dinner with Barak"
Jeffrey Epstein,Nadia Marcinkova,40,"email;social",2006-06,2014-12,"pre_conviction;post_plea","Multiple emails, model contacts"
Jeffrey Epstein,Al Seckel,40,"email;social",2010-12,2011-03,post_plea,"PR/reputation management, search monitoring"
Jeffrey Epstein,Ken Starr,40,"email;legal;social",2018-05,2018-08,trump_presidency,"Rubenfeld discussion, Wolff introduction"
Jeffrey Epstein,Anthony Scaramucci,40,"imessage;political",2018-01,2018-08,trump_presidency,"107 iMessages, political advice"
Jeffrey Epstein,Miroslav Lajcak,35,"imessage;international",2018-01,2018-11,trump_presidency,"103 iMessages, diplomatic exchanges"
Jeffrey Epstein,Sarah Kellen,35,"email;operational",2006-12,2008-05,pre_conviction,"Helicopter, Ferrari, logistics"
Jeffrey Epstein,Peter Mandelson,35,"email;international",2008-01,2011-03,post_plea,"UK politician correspondence"
Jeffrey Epstein,Jonathan Farkas,30,"email;business",2018-03,2019-04,trump_presidency,"Mar-a-Lago reports, Trump meetings"
Jeffrey Epstein,Celina Dubin,30,"imessage;social",2018-01,2019-03,trump_presidency,"78 iMessages"
Jeffrey Epstein,Soon-Yi Previn,30,"imessage;social",2018-01,2018-03,trump_presidency,"71 iMessages"
Jeffrey Epstein,Anil Ambani,30,"imessage;business",2018-01,2018-01,trump_presidency,"62 iMessages"
Jeffrey Epstein,Karyna Shuliak,30,"social",2018-01,2019-07,trump_presidency,"Girlfriend"
Jeffrey Epstein,Jack Lang,30,"email;international",2018-09,2018-09,trump_presidency,"French institution placement attempt"
Jeffrey Epstein,Peter Attia,30,"email;social",2015-08,2016-11,rebuilding,"Clinton/Trump article sharing"
Jeffrey Epstein,Deepak Chopra,25,"email;social",2017-09,2018-06,trump_presidency,"Trump guru article, Psychology Today"
Jeffrey Epstein,Martin Weinberg,25,"email;legal",2018-08,2018-08,trump_presidency,"Viceland investigation"
Jeffrey Epstein,Brad Karp,25,"email;legal",2017-12,2018-10,trump_presidency,"Paul Weiss chairman, 'whoopsie'"
Jeffrey Epstein,Robert Kuhn,25,"email;intellectual",2017-07,2018-08,trump_presidency,"Radical Breakthroughs, trade war"
Jeffrey Epstein,Eva Dubin,25,"imessage;email;social",2008-05,2018-08,"pre_conviction;trump_presidency","25 iMessages, photo sharing"
Jeffrey Epstein,Glenn Dubin,25,"email;social",2018-04,2018-04,trump_presidency,"New Yorker article sharing"
Jeffrey Epstein,Stacey Plaskett,25,"imessage;political",2018-01,2019-02,trump_presidency,"32 iMessages, USVI politics"
Jeffrey Epstein,Terje Rod-Larsen,25,"imessage;international",2018-01,2018-06,trump_presidency,"23 iMessages, London travel"
Jeffrey Epstein,Petra Nemcova,25,"email;social",2008-01,2008-05,pre_conviction,"Cape Town house, Prague"
Jeffrey Epstein,Conchita Sarnoff,25,"email",2019-07,2019-07,trump_presidency,"'Private & Confidential' before arrest"
Jeffrey Epstein,Brad Edwards,20,"legal",2018-04,2018-04,trump_presidency,"Settlement discussions"
Jeffrey Epstein,Boris Nikolic,20,"email;business",2011-01,2017-08,"post_plea;trump_presidency","Coverage requests"
Jeffrey Epstein,John Brockman,20,"email;academic",2010-12,2010-12,post_plea,"Edge Question 2011"
Jeffrey Epstein,David Pecker,20,"email;media",2005-11,2005-11,pre_conviction,"'Next Steps For Dana'"
Jeffrey Epstein,Peggy Siegal,20,"email;social",2017-11,2017-11,trump_presidency,"IFP Gotham Awards"
Jeffrey Epstein,Marvin Minsky,20,"email;academic",2007-11,2007-11,pre_conviction,"AI discussions"
Jeffrey Epstein,Masha Drokova,20,"email;business",2017-07,2017-08,trump_presidency,"Russian businesswoman"
Jeffrey Epstein,Marc Andreessen,15,"social",2008-05,2008-05,pre_conviction,"Facebook friend request"
Jeffrey Epstein,Fareed Zakaria,15,"email",2018-06,2018-06,trump_presidency,"Bannon column"
Jeffrey Epstein,Steven Sinofsky,15,"email",2018-02,2018-02,trump_presidency,"Pro Rata newsletter"
Jeffrey Epstein,Thorbjorn Jagland,15,"email;international",2018-06,2018-06,trump_presidency,"Meeting arrangement"
Jeffrey Epstein,Arda Beskardes,10,"imessage",2019-02,2019-02,trump_presidency,"3 iMessages, immigration"
Jeffrey Epstein,Bill Clinton,45,"flight_logs;social",2002,2003,pre_conviction,"26+ flights on Lolita Express, visited Little St. James Island [SOURCE: flight logs]"
Jeffrey Epstein,Donald Trump,50,"social;business",1987,2004,pre_conviction,"Known since 1980s, Mar-a-Lago, 'terrific guy' quote, later distanced [SOURCE: public records]"
Jeffrey Epstein,Prince Andrew,55,"social;legal",1999,2019,"pre_conviction;post_plea;rebuilding","Close associate, Giuffre lawsuit settled ~£12M, stayed at properties [SOURCE: court docs]"
Jeffrey Epstein,Les Wexner,60,"business;financial",1987,2007,pre_conviction,"Primary benefactor, $77M mansion, power of attorney, L Brands [SOURCE: public records]"
Jeffrey Epstein,Leon Black,40,"business;financial",2012,2017,"post_plea;rebuilding;trump_presidency","$158M advisory fees, Apollo Global Management [SOURCE: public records]"
Jeffrey Epstein,Kevin Spacey,25,"flight_logs;social",2002,2002,pre_conviction,"Africa trip on Lolita Express with Clinton and Tucker [SOURCE: flight logs]"
Jeffrey Epstein,Chris Tucker,20,"flight_logs;social",2002,2002,pre_conviction,"Africa trip on Lolita Express with Clinton and Spacey [SOURCE: flight logs]"
Jeffrey Epstein,Stephen Hawking,20,"social;academic",2006,2006,pre_conviction,"Visited St. James Island, referenced in depositions [SOURCE: depositions]"
Jeffrey Epstein,David Copperfield,30,"social",2004,2008,pre_conviction,"Named in depositions, visited island, black book [SOURCE: depositions]"
Jeffrey Epstein,Naomi Campbell,20,"flight_logs;social",2002,2005,pre_conviction,"Named in flight logs, social events [SOURCE: flight logs]"
Jeffrey Epstein,Woody Allen,25,"social",2010,2015,"post_plea;rebuilding","Dinner parties, NYC social circle [SOURCE: public records]"
Jeffrey Epstein,Cameron Diaz,15,"flight_logs",2002,2002,pre_conviction,"Named in Lolita Express flight logs [SOURCE: flight logs]"
Jeffrey Epstein,Michael Jackson,10,"black_book",2004,2004,pre_conviction,"Multiple phone numbers in black book [SOURCE: black book]"
Jeffrey Epstein,Brett Ratner,15,"black_book;social",2004,2006,pre_conviction,"Black book entry, entertainment social connections [SOURCE: black book]"
Jeffrey Epstein,Mick Jagger,15,"black_book;social",2004,2005,pre_conviction,"Named in black book, NYC/Caribbean social circles [SOURCE: black book]"
Jeffrey Epstein,Diana Ross,15,"flight_logs",2002,2003,pre_conviction,"Named in Lolita Express flight logs [SOURCE: flight logs]"
Jeffrey Epstein,Sarah Ferguson,25,"financial;social",2010,2011,post_plea,"£15K payment via Prince Andrew, charity [SOURCE: public records]"
Jeffrey Epstein,Richard Branson,20,"social;business",2004,2008,pre_conviction,"Island neighbor (Necker), social visits [SOURCE: public records]"
Bill Clinton,Kevin Spacey,20,"flight_logs",,,,Africa trip together on Lolita Express 2002
Bill Clinton,Chris Tucker,20,"flight_logs",,,,Africa trip together on Lolita Express 2002
Bill Clinton,Ghislaine Maxwell,25,"social;political",,,,Clinton Global Initiative, social/political circles
Prince Andrew,Ghislaine Maxwell,40,"social",,,,Longtime London friends, introduced Andrew to Epstein
Prince Andrew,Sarah Ferguson,25,"family",,,,Ex-spouses, Epstein paid debts
Prince Andrew,Alan Dershowitz,15,"legal",,,,Both named in Giuffre allegations
Donald Trump,Ghislaine Maxwell,20,"social",,,,NYC social circles, Mar-a-Lago events
Les Wexner,Ghislaine Maxwell,15,"social;business",,,,NYC social/business connections
Les Wexner,Darren Indyke,20,"legal;business",,,,Shared legal/business structures
Woody Allen,Soon-Yi Previn,30,"family",,,,Married couple
Steve Bannon,Michael Wolff,50,"mention;social",2017-07,2019-05,trump_presidency,"Wolff reports on Bannon meetings, Fire and Fury"
Larry Summers,Steve Bannon,15,"social",2018-03,2018-03,trump_presidency,"Epstein asked Summers to 'sit with bannon'"
Ehud Barak,Noam Chomsky,25,"social",2015-09,2015-10,rebuilding,"Epstein introduced them for dinner"
Ehud Barak,Sultan Bin Sulayem,25,"business",2018-08,2018-08,trump_presidency,"Carbyne startup investment"
Lawrence Krauss,Noam Chomsky,20,"email;intellectual",2015-09,2015-09,rebuilding,"Three-way article exchange"
Ghislaine Maxwell,Alan Dershowitz,20,"legal",2011-03,2011-03,post_plea,"Defense coordination"
Ken Starr,Michael Wolff,10,"social",2018-05,2018-05,trump_presidency,"Epstein introduced them"
Melanie Walker,Bill Gates,15,"institutional",ongoing,ongoing,all,"Gates Foundation advisor"
Glenn Dubin,Eva Dubin,30,"family",ongoing,ongoing,all,"Married couple"
Glenn Dubin,Celina Dubin,30,"family",ongoing,ongoing,all,"Father and daughter"
Lesley Groff,Sarah Kellen,30,"operational",2005-10,2008-05,"pre_conviction;post_plea","Both managed logistics"
Darren Indyke,Lesley Groff,25,"operational",2005-10,2019-07,all,"Attorney and assistant coordination"
Emad Hanna,John Amerling,20,"operational",2006-07,2008-05,pre_conviction,"Island/property operations"
Jeffrey Epstein,Bill Gates,35,"flight_logs;business",2013-03,2017-08,"post_plea;rebuilding","FLIGHT CONFIRMED: TEB→PBI Mar 1 2013, N909JE. Doc: HOUSE_OVERSIGHT_006289 [SOURCE: cracked JFlights]"
Jeffrey Epstein,Reid Hoffman,30,"flight_logs",2014-11,2014-11,rebuilding,"FLIGHT CONFIRMED: STT→BOS Nov 30 2014, N908JE. With Joi Ito. Doc: HOUSE_OVERSIGHT_008115 [SOURCE: cracked JFlights]"
Jeffrey Epstein,Igor Zinoviev,25,"flight_logs",2007-12,2014-12,"pre_conviction;post_plea;rebuilding","FLIGHT CONFIRMED: TEB→MIA Dec 14 2007 with Dershowitz. Doc: HOUSE_OVERSIGHT_005644 [SOURCE: cracked JFlights]"
Jeffrey Epstein,Kevin Maxwell,20,"flight_logs",2002-01,2010-12,"pre_conviction;post_plea","Ghislaine's brother. JFlights passenger manifests [SOURCE: cracked JFlights]"
Jeffrey Epstein,Neil Gershenfeld,15,"flight_logs;academic",2005-01,2010-12,"pre_conviction;post_plea","MIT professor. JFlights passenger manifests [SOURCE: cracked JFlights]"
Jeffrey Epstein,Walter Cronkite,10,"social",2004-01,2008-12,pre_conviction,"CBS anchor. JPhotos archive people thumbnail [SOURCE: cracked JPhotos]"
Reid Hoffman,Joi Ito,20,"flight_logs",2014-11,2014-11,rebuilding,"Same flight STT→BOS Nov 30 2014. Doc: HOUSE_OVERSIGHT_008115 [SOURCE: cracked JFlights]"
Woody Allen,Larry Summers,20,"flight_logs",2013-02,2013-02,post_plea,"Same flight Treasure Cay→PBI Feb 16 2013. Doc: HOUSE_OVERSIGHT_006294 [SOURCE: cracked JFlights]"
Kevin Maxwell,Ghislaine Maxwell,30,"family;flight_logs",ongoing,ongoing,"pre_conviction;post_plea","Siblings. Both in flight manifests [SOURCE: cracked JFlights]"
Jeffrey Epstein,Martin Nowak,30,"flight_logs;financial",2015-09,2015-09,rebuilding,"FLIGHT CONFIRMED: Sep 4 2015 with Knoll & Berwick. $6.5M funding. HOUSE_OVERSIGHT_001880 [SOURCE: deep JFlights scrape]"
Jeffrey Epstein,Bob Berwick,20,"flight_logs;academic",2015-09,2015-09,rebuilding,"FLIGHT CONFIRMED: Sep 4 2015 with Nowak & Knoll. MIT linguist, Chomsky co-author. HOUSE_OVERSIGHT_001880 [SOURCE: deep JFlights scrape]"
Jeffrey Epstein,Barnaby Marsh,20,"flight_logs",2016-04,2016-04,rebuilding,"FLIGHT CONFIRMED: Apr 1 2016. Science program associate. HOUSE_OVERSIGHT_002139 [SOURCE: deep JFlights scrape]"
Martin Nowak,Bob Berwick,20,"flight_logs;academic",2015-09,2015-09,rebuilding,"Same flight Sep 4 2015. HOUSE_OVERSIGHT_001880 [SOURCE: deep JFlights scrape]"
Bob Berwick,Noam Chomsky,15,"academic",ongoing,ongoing,all,"MIT colleagues. Co-authored 'Why Only Us'. Both Epstein-connected [SOURCE: public records]"
